Meeting Type;Vote Date;Vote Number;Agenda Description;Vote Start Date Time;Vote Decision
City Finance & Services;2023-11-15;9655;A5. Delivering a New Supply of Middle-Income Housing in Vancouver;2023-11-15T15:32:45-08:00;Carried Unanimously
City Finance & Services;2023-11-15;9656;R2. Minor Amendments to the Street and Traffic and Parking Meter By-laws;2023-11-15T15:38:10-08:00;Carried Unanimously
City Finance & Services;2023-11-15;9657;R4. 2023 Property Tax Policy Review - Revised Terms of Reference;2023-11-15T15:41:40-08:00;Carried Unanimously
City Finance & Services;2023-11-15;9658;R5. Contract Award for Supply and Delivery of Bulldozers;2023-11-15T15:42:26-08:00;Carried Unanimously
Public Hearing;2023-11-16;9659;1. Rezoning: 3529-3589 Arbutus Street and 2106 West 19th Avenue;2023-11-16T13:43:04-08:00;Carried Unanimously
Public Hearing;2023-11-16;9660;2. Rezoning: 6065-6075 Collingwood Place;2023-11-16T15:20:11-08:00;Carried Unanimously
Council;2023-11-28;9661;R1. 2023 Budget Adjustments - Vancouver Police and Vancouver Fire and Rescue;2023-11-28T16:03:22-08:00;Carried Unanimously
Council;2023-11-28;9662;R7. Lease Extension with Covenant House Vancouver for 326 West Pender Street;2023-11-28T16:06:32-08:00;Carried Unanimously
Council;2023-11-28;9663;R2. Vancouver Civic Theatres Rental Rates 2024-2025;2023-11-28T16:24:01-08:00;Carried Unanimously
Council;2023-11-28;9664;R3. UBCM C2C Grant Application for Locarno Archaeological Management Plan Project;2023-11-28T16:24:33-08:00;Carried Unanimously
Council;2023-11-28;9665;R4. Funding Application to Disaster Risk Reduction-Climate Adaptation Program;2023-11-28T16:24:53-08:00;Carried Unanimously
Council;2023-11-28;9666;"R5. Approval of Council Initiatives - Business Improvement Areas; Renewals and Expansion 2024";2023-11-28T16:25:27-08:00;Carried Unanimously
Council;2023-11-28;9667;R6. Conversion of Rezoning Latecomer Agreement for 4575 Ash Street and 623-693 West 30th Avenue;2023-11-28T16:26:04-08:00;Carried Unanimously
Council;2023-11-28;9668;R8. Business Licence Hearing Panels - January to July 2024;2023-11-28T16:26:23-08:00;Carried Unanimously
Council;2023-11-28;9669;R9. Repeal of Outdated Policies;2023-11-28T16:26:37-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9670;R1. Childcare Strategy Implementation Phase 1 Update and Next Steps;2023-11-29T10:39:00-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9671;R3. Changes to the Procurement Policy and Delegated Authority;2023-11-29T11:08:26-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9672;R3. Changes to the Procurement Policy and Delegated Authority;2023-11-29T11:08:58-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9673;A2. Trans, Gender Diverse and Two-Spirit (TGD2S) Inclusion and Safety Action Plan;2023-11-29T12:05:44-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9674;A2. Trans, Gender Diverse and Two-Spirit (TGD2S) Inclusion and Safety Action Plan;2023-11-29T12:11:03-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9676;R2. Joining UN-Habitat's Quality of Life Initiative as a Pilot City;2023-11-29T12:12:35-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9677;R4. 111 West Hastings Street Unit 10 (Basement Level) 351 Abbott Street Unit 110 (Main Floor) Kokoro Dance Theatre Society;2023-11-29T12:12:58-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9678;R5. Mountain View Cemetery - 2024 Fee Increases and Adjustments;2023-11-29T12:13:16-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9679;A3. Regularizing Road Paint Maintenance for Safety;2023-11-29T13:29:23-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9680;A3. Regularizing Road Paint Maintenance for Safety;2023-11-29T13:30:04-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9681;A4. Uplifting the Downtown Eastside and Building Inclusive Communities that Work for All Residents;2023-11-29T14:24:29-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9682;A4. Uplifting the Downtown Eastside and Building Inclusive Communities that Work for All Residents;2023-11-29T14:53:13-08:00;Carried
Policy & Strategic Priorities;2023-11-29;9683;A4. Uplifting the Downtown Eastside and Building Inclusive Communities that Work for All Residents;2023-11-29T14:58:56-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-11-29;9684;A5. Transparency and Accountability in Conducting Council Business;2023-11-29T15:54:31-08:00;Carried
Policy & Strategic Priorities;2023-11-29;9685;A5. Transparency and Accountability in Conducting Council Business;2023-11-29T15:56:16-08:00;Carried
Council;2023-12-12;9687;Acting Mayors, Deputy Mayors, Duty Councillors: Roster of Councillors to Represent Council â€“ 2024 - First Amendment;2023-12-12T09:46:19-08:00;Carried Unanimously
Council;2023-12-12;9688;Acting Mayors, Deputy Mayors, Duty Councillors: Roster of Councillors to Represent Council â€“ 2024 - Second Amendment;2023-12-12T09:47:49-08:00;Carried Unanimously
Council;2023-12-12;9689;Acting Mayors, Deputy Mayors, Duty Councillors: Roster of Councillors to Represent Council â€“ 2024 - Final Motion as Amended;2023-12-12T09:48:21-08:00;Carried Unanimously
Council;2023-12-12;9690;2024 Engineering Fees;2023-12-12T09:51:12-08:00;Carried Unanimously
Council;2023-12-12;9691;2024 Annual Review of Water Rates and Water Works By-law Amendments;2023-12-12T09:52:21-08:00;Carried Unanimously
Council;2023-12-12;9692;2024 Annual Review of Sewer Rates â€“ Sewer and Watercourse By-law;2023-12-12T09:53:20-08:00;Carried Unanimously
Council;2023-12-12;9693;2024 Solid Waste Utility Fees and By-law Changes;2023-12-12T09:54:10-08:00;Carried Unanimously
Council;2023-12-12;9694;2024 False Creek Neighbourhood Energy Utility Customer Rates;2023-12-12T09:55:13-08:00;Carried Unanimously
Council;2023-12-12;9695;2024 Climate Budget;2023-12-12T10:00:44-08:00;Carried Unanimously
Council;2023-12-12;9696;2024 Draft Operating and Capital Budget - Amendment to Add J and K;2023-12-12T10:45:42-08:00;Carried
Council;2023-12-12;9697;2024 Draft Operating and Capital Budget - Amendment to the Amendment (L);2023-12-12T11:15:37-08:00;Carried
Council;2023-12-12;9698;2024 Draft Operating and Capital Budget - Amended L;2023-12-12T11:16:13-08:00;Carried Unanimously
Council;2023-12-12;9699;2024 Draft Operating and Capital Budget - Amendment to Add M (re: parks);2023-12-12T11:31:44-08:00;Lost
Council;2023-12-12;9700;2024 Draft Operating and Capital Budget - Add M (re: libraries);2023-12-12T11:37:40-08:00;Carried Unanimously
Council;2023-12-12;9701;2024 Draft Operating and Capital Budget - Add M (re: parks) (Voting again after a reconsideration);2023-12-12T11:39:16-08:00;Lost
Council;2023-12-12;9702;2024 Draft Operating and Capital Budget - Amendment to add N;2023-12-12T11:42:21-08:00;Carried Unanimously
Council;2023-12-12;9703;2024 Draft Operating and Capital Budget - Amendment to Add O;2023-12-12T11:45:41-08:00;Carried Unanimously
Council;2023-12-12;9704;2024 Draft Operating and Capital Budget - Amendment to Add P;2023-12-12T11:56:44-08:00;Carried
Council;2023-12-12;9705;CD-1 Rezoning: 3352-3386 Vanness Avenue and 3347 Clive Avenue;2023-12-12T12:00:14-08:00;Carried Unanimously
Council;2023-12-12;9706;CD-1 Rezoning: 2015 Main Street and 190 East 4th Avenue;2023-12-12T12:00:32-08:00;Carried Unanimously
Council;2023-12-12;9707;CD-1 Rezoning: 1055 Harwood Street;2023-12-12T12:01:13-08:00;Carried Unanimously
Council;2023-12-12;9708;CD-1 Rezoning: 1890 Southwest Marine Drive;2023-12-12T12:01:52-08:00;Carried Unanimously
Council;2023-12-12;9709;2024 Draft Operating and Capital Budget - Amendment to Add Q;2023-12-12T15:33:31-08:00;Carried Unanimously
Council;2023-12-12;9710;2024 Draft Operating and Capital Budget - Amendment to Add R;2023-12-12T15:37:21-08:00;Carried Unanimously
Council;2023-12-12;9711;2024 Draft Operating and Capital Budget - Final Motion G;2023-12-12T16:36:29-08:00;Carried
Council;2023-12-12;9712;2024 Draft Operating and Capital Budget - Final Motion J;2023-12-12T16:36:59-08:00;Carried
Council;2023-12-12;9713;2024 Draft Operating and Capital Budget - Final Motion K;2023-12-12T16:37:22-08:00;Carried
Council;2023-12-12;9714;2024 Draft Operating and Capital Budget - Final Motion P;2023-12-12T16:37:44-08:00;Carried
Council;2023-12-12;9715;2024 Draft Operating and Capital Budget - Final Motion Q;2023-12-12T16:38:13-08:00;Carried Unanimously
Council;2023-12-12;9716;2024 Draft Operating and Capital Budget - Final Motion H, I, L to O and R;2023-12-12T16:38:42-08:00;Carried Unanimously
Council;2023-12-12;9717;2024 Draft Operating and Capital Budget - Final Motion A(a);2023-12-12T16:39:11-08:00;Carried Unanimously
Council;2023-12-12;9718;2024 Draft Operating and Capital Budget - Final Motion A(b);2023-12-12T16:39:38-08:00;Carried
Council;2023-12-12;9719;2024 Draft Operating and Capital Budget - Final Motion A(c);2023-12-12T16:39:55-08:00;Carried Unanimously
Council;2023-12-12;9720;2024 Draft Operating and Capital Budget - Final Motion A(d);2023-12-12T16:40:11-08:00;Carried
Council;2023-12-12;9721;2024 Draft Operating and Capital Budget - Final Motion A (FURTHER THAT);2023-12-12T16:40:31-08:00;Carried
Council;2023-12-12;9722;2024 Draft Operating and Capital Budget - Final Motion B to F;2023-12-12T16:40:56-08:00;Carried Unanimously
Council;2023-12-12;9723;2024 Land Assessment Averaging: Notice to BC Assessment Authority;2023-12-12T16:43:39-08:00;Carried Unanimously
Public Hearing;2023-12-12;9724;1. Industrial Modernization and Intensification Framework-Amendments to the Zoning and Development By-law;2023-12-12T18:30:57-08:00;Carried Unanimously
Public Hearing;2023-12-12;9725;2. Rezoning: 692 West 30th Avenue;2023-12-12T18:51:57-08:00;Carried Unanimously
Public Hearing;2023-12-12;9726;3. Rezoning: 688 West 29th Avenue;2023-12-12T19:02:14-08:00;Carried Unanimously
Public Hearing;2023-12-12;9727;4. CD-1 Rezoning: 4711-4787 Cambie Street;2023-12-12T19:13:32-08:00;Carried Unanimously
Public Hearing;2023-12-12;9728;5. CD-1 Rezoning: 8120-8168 Lord Street and 540 West 65th Avenue;2023-12-12T19:26:01-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9729;R1. Policy and By-law Updates to Regulation of Liquor Establishments Including Distance Requirements - Amendment B and G;2023-12-13T11:39:30-08:00;Carried
City Finance & Services;2023-12-13;9730;R1. Policy and By-law Updates to Regulation of Liquor Establishments Including Distance Requirements - Amendment J;2023-12-13T11:39:51-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9731;R1. Policy and By-law Updates to Regulation of Liquor Establishments Including Distance Requirements - Amendment K;2023-12-13T11:49:04-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9732;R1. Policy and By-law Updates to Regulation of Liquor Establishments Including Distance Requirements - Amended Motion B and last clause of G;2023-12-13T12:05:59-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9733;R1. Policy and By-law Updates to Regulation of Liquor Establishments Including Distance Requirements - Amended Motion A, C, D, E, F, first two clauses of G, H, I, J and K;2023-12-13T12:06:25-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9734;R3. Plumbing, Sprinkler and Mechanical Updates to the Building By-law;2023-12-13T14:09:33-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9735;R4. December 2023 Community Services and Other Social Policy Grants;2023-12-13T14:48:39-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9736;A2. Amendment to the Vancouver Charter - Suspend the rules of the Procedure By-law to ask questions of the mover;2023-12-13T14:54:48-08:00;Lost
City Finance & Services;2023-12-13;9737;A2. Amendment to the Vancouver Charter - Amendment C;2023-12-13T20:45:30-08:00;Carried
City Finance & Services;2023-12-13;9738;A2. Amendment to the Vancouver Charter - Amendment;2023-12-13T21:10:08-08:00;Lost
City Finance & Services;2023-12-13;9739;A2. Amendment to the Vancouver Charter - Amendment;2023-12-13T21:14:09-08:00;Lost
City Finance & Services;2023-12-13;9740;A2. Amendment to the Vancouver Charter - Amendment to the Amendment;2023-12-13T21:29:57-08:00;Lost
City Finance & Services;2023-12-13;9741;A2. Amendment to the Vancouver Charter - Amendment;2023-12-13T21:30:47-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9742;A2. Amendment to the Vancouver Charter - Amendment;2023-12-13T21:32:52-08:00;Lost
City Finance & Services;2023-12-13;9743;A2. Amendment to the Vancouver Charter - Amended Motion;2023-12-13T21:48:43-08:00;Carried
City Finance & Services;2023-12-13;9744;P2. Climate Emergency Action Plan - Annual Update - Postponement;2023-12-13T21:53:12-08:00;Carried Unanimously
City Finance & Services;2023-12-13;9745;R2. 1115 Granville St (2nd Floor) - RRRJ Holdings Ltd (The Refinery) - Dual Licence Liquor Primary Application - Adopted on Consent;2023-12-13T21:55:30-08:00;Carried Unanimously
Public Hearing;2023-12-14;9746;1. Rezoning: 2231-2247 East 41st Avenue;2023-12-14T13:33:51-08:00;Carried Unanimously
Public Hearing;2023-12-14;9747;2. Rezoning: 6470 Larch Street;2023-12-14T13:59:02-08:00;Carried Unanimously
Public Hearing;2023-12-14;9748;3. CD-1 Rezoning: 4330-4408 Arbutus Street and 2092 Nanton Avenue;2023-12-14T14:49:31-08:00;Carried Unanimously
Public Hearing;2023-12-14;9749;4. CD-1 Rezoning: 848 Seymour Street;2023-12-14T15:41:05-08:00;Carried Unanimously
Public Hearing;2023-12-14;9750;5. CD-1 Rezoning: 1710-1730 East Pender Street;2023-12-14T16:47:11-08:00;Carried Unanimously
Auditor General Committee;2024-01-16;9754;Vancouver Police Department's Enterprise Risk Management;2024-01-16T11:05:31-08:00;Carried Unanimously
Council;2024-01-23;9755;R1. Mayor's Budget Task Force Report - Amendment;2024-01-23T12:39:47-08:00;Carried Unanimously
Council;2024-01-23;9756;R1. Mayor's Budget Task Force Report;2024-01-23T13:01:14-08:00;Carried Unanimously
Council;2024-01-23;9757;R2. Grant to BC Housing to Support Continuation of Temporary Shelter at 15-27 West Hastings (Bud Osborn Shelter);2024-01-23T13:02:29-08:00;Carried Unanimously
Council;2024-01-23;9758;R3. 2024 Cultural Grants (Projects, Advance, Multiyear);2024-01-23T13:03:02-08:00;Carried Unanimously
Council;2024-01-23;9759;R4. Auditor General Committee Recommendations Transmittal Report;2024-01-23T13:03:42-08:00;Carried Unanimously
Council;2024-01-23;9760;RR1. CD-1 Rezoning: 1002-1052 Seymour Street and 550 Nelson Street;2024-01-23T13:04:18-08:00;Carried Unanimously
Council;2024-01-23;9761;RR2. Rezoning: 2726-2734 West 16th Avenue;2024-01-23T13:05:08-08:00;Carried Unanimously
Council;2024-01-23;9763;RR3. CD-1 Rezoning: 2928-2930 Renfrew Street;2024-01-23T13:06:07-08:00;Carried Unanimously
Council;2024-01-23;9764;RR4. CD-1 Rezonings: (i) 5392-5472 Manson Street and (ii) 5250-5270 Ash Street and 595 West 37th Avenue;2024-01-23T13:06:46-08:00;Carried Unanimously
Council;2024-01-23;9766;RR5. CD-1 Rezoning: 6095 Fraser Street;2024-01-23T13:07:57-08:00;Carried Unanimously
Public Hearing;2024-01-23;9768;1. CD-1 Rezoning: 1890 Southwest Marine Drive;2024-01-23T18:39:56-08:00;Carried Unanimously
Public Hearing;2024-01-23;9769;2. CD-1 Rezoning: 1055 Harwood Street;2024-01-23T19:19:18-08:00;Carried Unanimously
Public Hearing;2024-01-23;9770;3. CD-1 Rezoning: 3352-3386 Vanness Avenue and 3347 Clive Avenue;2024-01-23T20:34:08-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-01-24;9771;R1. Jericho Lands Policy Statement;2024-01-24T16:35:34-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-01-24;9772;R1. Jericho Lands Policy Statement;2024-01-24T16:43:34-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-01-24;9773;R1. Jericho Lands Policy Statement;2024-01-24T17:06:39-08:00;Carried Unanimously
Policy & Strategic Priorities;2024-01-24;9775;R2. 2024 Budget Adjustment related to risk mitigation of the Hemlock Looper Moth in Stanley Park;2024-01-24T17:21:32-08:00;Carried Unanimously
Public Hearing;2024-01-30;9778;4. CD-1 Rezoning: 2015 Main Street and 190 East 4th Avenue - Amendment;2024-01-30T16:50:23-08:00;Carried Unanimously
Public Hearing;2024-01-30;9779;4. CD-1 Rezoning: 2015 Main Street and 190 East 4th Avenue;2024-01-30T17:01:00-08:00;Carried Unanimously
Special Council;2024-01-31;9780;1. Business Licence Suspension (Short Term Rental) - 4107 W 13th Avenue;2024-01-31T11:07:44-08:00;Carried Unanimously
Council;2024-02-06;9781;Urgent Mental Health and Substance Use Service Enhancements Grant;2024-02-06T11:36:38-08:00;Carried Unanimously
Council;2024-02-06;9782;New Lease for Canuck Place Childrenâ€™s Hospice â€“ 1690 Matthews Ave (Glen Brae Manor);2024-02-06T11:44:40-08:00;Carried Unanimously
Council;2024-02-06;9783;2024 Street Cleaning Grant Program;2024-02-06T11:45:18-08:00;Carried Unanimously
Council;2024-02-06;9785;Auditor General Committee Recommendations Transmittal Report;2024-02-06T11:47:38-08:00;Carried Unanimously
Council;2024-02-06;9786;CD-1 Rezoning: 1065 Pacific Street;2024-02-06T11:48:10-08:00;Carried Unanimously
Council;2024-02-06;9787;Tools and Incentives to Encourage Mass Timber Construction;2024-02-06T11:48:54-08:00;Carried Unanimously
Council;2024-02-06;9788;Miscellaneous Amendments Concerning Various CD-1 By-laws;2024-02-06T11:49:41-08:00;Carried Unanimously
Council;2024-02-06;9789;CD-1 Rezoning: 2108-2476 Cassiar Street, 2105-2394 Hermon Drive, 3426-3476 East 5th Avenue and 2105-2291 Skeena Street (Skeena Terrace);2024-02-06T11:50:33-08:00;Carried Unanimously
City Finance & Services;2024-02-07;9791;Presentation 2. Climate Emergency Action Plan - Annual Update - Motion;2024-02-07T13:10:28-08:00;Carried Unanimously
City Finance & Services;2024-02-07;9792;R1. Gastown Summer 2024 Water Street Pedestrian Zone Pilot - Amendment;2024-02-07T14:43:08-08:00;Lost
City Finance & Services;2024-02-07;9793;R1. Gastown Summer 2024 Water Street Pedestrian Zone Pilot;2024-02-07T15:02:29-08:00;Carried Unanimously
City Finance & Services;2024-02-07;9794;A2. Housing is Healthcare - Amendment 1;2024-02-07T15:44:10-08:00;Carried Unanimously
City Finance & Services;2024-02-07;9795;A2. Housing is Healthcare - Amendment 2;2024-02-07T15:51:09-08:00;Carried Unanimously
City Finance & Services;2024-02-07;9796;A2. Housing is Healthcare - Final motion first clause only;2024-02-07T16:01:47-08:00;Lost
City Finance & Services;2024-02-07;9797;A2. Housing is Healthcare - Final motion remaining clauses;2024-02-07T16:02:24-08:00;Carried Unanimously
Auditor General Committee;2024-02-22;9798;1. 2023 OAG Annual Report and 2024 Operational Plan;2024-02-22T10:09:14-08:00;Carried Unanimously
